Replicon;gene;type;start;end;orientation;color;from;to;subcolor;label_type;lane
chromosome;menC;gene;34486;35448;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;menE;gene;35433;36884;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;murF;gene;36976;38331;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0037;gene;38535;38981;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;rfbB;gene;39857;40927;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0039;gene;40951;41826;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0040;gene;41960;43492;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0041;gene;43542;44498;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0042;gene;44511;45458;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;asr0043;gene;46643;46852;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0044;gene;46892;47278;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0045;gene;47278;47736;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;asl0046;gene;47902;48195;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0047;gene;48470;50065;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0048;gene;50091;50696;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;mutS;gene;51283;53319;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0050;gene;53882;54919;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0051;gene;55119;56282;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;trxA;gene;56642;56965;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0053;gene;57224;58309;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0054;gene;58472;59791;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0055;gene;60168;61811;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0056;gene;61836;62198;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;asr0057;gene;62218;62385;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0058;gene;62394;63419;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0059;gene;63555;65738;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;asl0060;gene;66556;66843;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0061;gene;67154;67987;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;asr0062;gene;68148;68354;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;rbfA;gene;68534;68935;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;asr0064;gene;69988;70224;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0065;gene;70601;70951;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0066;gene;71103;71702;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0067;gene;71745;72281;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0068;gene;72595;73149;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0069;gene;73290;74033;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0070;gene;74146;74958;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0071;gene;75171;75794;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0072;gene;75965;76639;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;hisB;gene;76760;77551;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0074;gene;78171;79187;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0075;gene;79339;80814;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0076;gene;80974;81747;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0077;gene;81759;82652;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0078;gene;82725;83282;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0079;gene;83290;84525;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0080;gene;84908;85294;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;asr0081;gene;85949;86167;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;ribD;gene;86231;87421;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0083;gene;87523;87936;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0084;gene;87929;88306;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0085;gene;88561;89073;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;mreC;gene;89188;90009;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;mreB;gene;90105;91148;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0088;gene;91483;91842;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0089;gene;91903;92568;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;asl0090;gene;92574;92744;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0091;gene;93059;94516;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0092;gene;95168;97051;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0093;gene;97350;99233;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0094;gene;99384;100262;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;asl0095;gene;100490;100699;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;sds;gene;101711;102682;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;asl0097;gene;102778;102933;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;asr0098;gene;103430;103594;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0099;gene;103683;104663;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;asr0100;gene;104656;104832;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0101;gene;104851;105627;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;asr0102;gene;105748;105906;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0103;gene;105949;108288;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;asr0104;gene;108324;108476;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;asr0105;gene;108919;109185;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0106;gene;109372;109971;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;psaL;gene;110201;110719;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;psaJ;gene;110990;111139;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;psaF;gene;111177;111671;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0110;gene;111955;112995;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0111;gene;113061;113975;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0112;gene;114126;114845;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0113;gene;115235;115786;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0114;gene;116589;117413;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;hemK;gene;117428;118342;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0116;gene;118415;118999;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0117;gene;119269;120186;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0118;gene;120149;120619;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0119;gene;120725;121138;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;secF;gene;121177;122154;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;secD;gene;122151;123575;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0122;gene;123742;124725;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0123;gene;124838;125464;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0124;gene;125676;129035;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;asl0125;gene;129040;129330;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;cysA;gene;129590;130606;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0127;gene;130711;131223;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;chlP;gene;131490;132710;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;rpaA;gene;133034;133777;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0130;gene;133934;134995;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0131;gene;135284;135904;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0132;gene;136623;137957;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0133;gene;138036;138623;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0134;gene;138690;139271;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0135;gene;139352;140086;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;rps1;gene;140188;141219;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;psbT;gene;141546;141653;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;psbB;gene;141751;143280;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0139;gene;143704;144027;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0140;gene;144629;146287;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0141;gene;146423;147448;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0142;gene;147532;148440;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0143;gene;148503;149681;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0144;gene;149871;150776;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0145;gene;151210;151659;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;rpl27;gene;151736;152014;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;rpl21;gene;152042;152434;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;asr0148;gene;152869;153114;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0149;gene;153111;153497;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0150;gene;153551;154639;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;asl0151;gene;154744;155040;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;chlI;gene;155135;156259;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0153;gene;156575;158188;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;ftsW;gene;158589;159779;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0155;gene;159979;160524;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0156;gene;161060;161581;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0157;gene;161681;162349;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0158;gene;162352;163140;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0159;gene;163382;164575;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0160;gene;164558;165712;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;petJ;gene;165871;166206;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0162;gene;166535;167335;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;asl0163;gene;167600;167776;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0164;gene;167936;168349;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0165;gene;168634;171099;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0166;gene;171094;172581;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0167;gene;172658;175426;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0168;gene;175504;177366;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0169;gene;177701;179629;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0170;gene;180025;181122;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;asl0171;gene;181350;181595;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0172;gene;181582;181989;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0173;gene;182241;183116;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0174;gene;183300;184643;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0175;gene;185196;186017;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;asl0176;gene;186051;186314;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0177;gene;186584;188296;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0178;gene;188577;190316;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;asr0179;gene;190785;191030;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0180;gene;191109;191891;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0181;gene;191965;193395;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0182;gene;193375;195522;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;asr0183;gene;195669;195833;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0184;gene;196342;197625;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0185;gene;198619;200283;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0186;gene;200312;200818;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0187;gene;200895;202406;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0188;gene;202511;203587;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0189;gene;203773;205416;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0190;gene;205651;206619;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0191;gene;206635;207423;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0192;gene;207550;209211;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0193;gene;209314;210192;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0194;gene;210583;211164;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0195;gene;211252;211605;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0196;gene;211897;213228;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0197;gene;213384;214217;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0198;gene;214817;215383;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0199;gene;215440;215973;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0200;gene;216123;217403;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0201;gene;217665;218324;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0202;gene;218697;219911;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0203;gene;220171;220659;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;asl0204;gene;220781;220963;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0205;gene;221033;223189;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;asl0206;gene;223223;223405;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0207;gene;223902;225500;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0208;gene;225850;226401;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0209;gene;226463;227584;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;mutT;gene;227660;228100;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0211;gene;228132;228512;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0212;gene;228735;229634;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0213;gene;229783;230712;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0214;gene;230843;231313;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0215;gene;231332;231970;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0216;gene;232191;232526;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0217;gene;232629;233348;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;pdxJ;gene;233461;234180;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0219;gene;234339;236096;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0220;gene;236408;237142;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0221;gene;237409;237903;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;gltA;gene;238171;239307;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;ndhA;gene;239773;240891;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;ndhI;gene;240980;241564;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;ndhG;gene;241665;242273;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;ndhE;gene;242311;242616;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0227;gene;242623;243543;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0228;gene;243866;244669;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;asr0229;gene;244854;245078;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0230;gene;245146;246753;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0231;gene;246770;247927;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0232;gene;248183;248812;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0233;gene;248988;250580;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0234;gene;250960;251685;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0235;gene;252003;252833;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0236;gene;252979;254037;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0237;gene;254248;255723;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;plsX;gene;255954;256979;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0239;gene;257073;258065;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0240;gene;258160;259038;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0241;gene;259275;259913;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0242;gene;260010;261047;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;asr0243;gene;261189;261482;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0244;gene;261541;262065;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0245;gene;262434;263525;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0246;gene;263654;264274;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0247;gene;264415;265329;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0248;gene;265824;266480;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0249;gene;266826;267788;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0250;gene;268690;269517;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0251;gene;269879;270709;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0252;gene;271108;272997;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0253;gene;273001;273639;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0254;gene;273942;274637;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0255;gene;275105;276580;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;petJ;gene;276724;276831;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;asr0257;gene;276959;277162;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;petE;gene;277397;277816;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;psbV;gene;278288;278779;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;asl0260;gene;278772;278927;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0261;gene;279124;279954;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0262;gene;280064;280837;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0263;gene;280987;282195;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0264;gene;283152;283607;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0265;gene;283652;284212;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0266;gene;284329;285639;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0267;gene;286425;287651;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0268;gene;287825;288592;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;trpG;gene;288596;289150;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0270;gene;289391;289846;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0271;gene;289986;290540;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;asl0272;gene;290560;290715;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0273;gene;290855;291733;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0274;gene;292267;294747;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0275;gene;295058;298141;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0276;gene;298527;305573;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0277;gene;306021;306806;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;chlD;gene;306868;308904;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0279;gene;309012;309596;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0280;gene;309610;310296;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;asl0281;gene;310525;310635;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0282;gene;310632;311120;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0283;gene;311157;316400;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0284;gene;316483;321618;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0285;gene;322617;322937;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0286;gene;323296;323748;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;hemD;gene;323835;324665;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0288;gene;324735;325403;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0289;gene;325649;326836;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0290;gene;327539;329509;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0291;gene;329715;330179;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0292;gene;330326;330925;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0293;gene;331110;335105;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;asl0294;gene;335200;335355;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0295;gene;335849;336547;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0296;gene;336560;337333;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0297;gene;337402;338556;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0298;gene;338667;339041;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0299;gene;339569;340735;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0300;gene;340821;341831;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0301;gene;341995;343242;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0302;gene;343736;344464;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0303;gene;344599;344943;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0304;gene;344951;347893;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;asl0305;gene;348224;348436;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0306;gene;348578;349540;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0307;gene;349954;350298;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0308;gene;350779;354315;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;alr0309;gene;354517;355569;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;asl0310;gene;355653;355829;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0311;gene;355826;356197;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;menD;gene;356416;358179;1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0313;gene;358282;358614;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0314;gene;358805;359107;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0315;gene;359608;360015;-1;#4682B4;NA;NA;NA;bold.italic;1
chromosome;all0316;gene;360180;361067;-1;#4682B4;NA;NA;NA;bold.italic;1
