Replicon;gene;type;start;end;orientation;color;lane;from;to;subcolor;label_type
chromosome;sll1407;gene;29098;29895;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;fhuA;gene;29968;32454;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;sll1405;gene;32524;32952;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;exbB;gene;32912;33544;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;slr1484;gene;33891;35489;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;slr1485;gene;35566;36615;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;slr1488;gene;36721;38538;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;pchR;gene;38644;39636;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;fhuA;gene;39802;42363;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;fecB;gene;42405;43397;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;fecB;gene;43571;44506;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;slr1493;gene;44442;44885;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;slr1494;gene;44948;46789;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;sll1401;gene;47007;48017;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;sll1400;gene;48067;48408;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;ssl2733;gene;48405;48635;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;sll1399;gene;48663;49868;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;psb13;gene;49893;50231;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;slr1495;gene;50246;51895;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;sll1397;gene;52260;53108;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;sll1396;gene;53453;54127;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;hypD;gene;54533;55657;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;rfbD;gene;55669;56511;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;msrA;gene;56556;57224;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;glgA;gene;57340;58815;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;sll1392;gene;59039;59650;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;slr1501;gene;59746;60423;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;slr1113;gene;60524;61522;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;slr1114;gene;61834;63591;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;slr1115;gene;63588;64361;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;slr1116;gene;64393;64914;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;slr1117;gene;64987;65748;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;sll1064;gene;65827;67533;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;rffM;gene;67606;68361;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;sll1063;gene;68400;69059;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;slr1119;gene;69284;69985;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;sll1062;gene;70016;70393;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;sll1061;gene;70420;70935;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;sll1060;gene;70944;74042;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;ssl2069;gene;73978;74229;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;ssr1853;gene;74498;74785;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;hofD;gene;74995;75804;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;adk;gene;75955;76500;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;dapB;gene;76580;77407;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;trx;gene;77494;77874;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;purL;gene;78467;80800;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;slr1122;gene;80938;81690;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;sll1054;gene;81696;82259;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;sll1053;gene;82291;83853;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;gmk;gene;84122;84697;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;gpmB;gene;85058;86107;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;crtX;gene;86159;87418;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;sll1052;gene;87536;87910;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;cpcF;gene;88017;88661;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;sll1049;gene;88818;90512;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;slr1127;gene;90620;91411;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;slr1128;gene;91517;92482;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;rne;gene;93128;95152;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;rhnB;gene;95236;95808;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;mutT;gene;95818;96228;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;pnp;gene;96325;98481;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;lepB;gene;98609;99199;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;me;gene;99402;100793;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;cysM;gene;100794;101771;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;sll0711;gene;101884;102831;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;sll0710;gene;102930;105110;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;llaI;gene;105151;106539;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;ksgA;gene;107471;108325;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;slr0722;gene;108290;109201;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;slr0723;gene;109222;110313;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;sohA;gene;110392;110724;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;slr0725;gene;110808;111224;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;slr0727;gene;111585;112559;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;slr0728;gene;113025;114188;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;slr0729;gene;114319;114624;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;slr0730;gene;114874;115272;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;slr0731;gene;115269;116477;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;nifS;gene;116518;117693;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;slr0732;gene;117869;118336;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;sll0703;gene;118333;119532;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;sll0702;gene;119570;119962;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;xerC;gene;120719;121660;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;ssl1326;gene;121706;121990;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;slr0734;gene;122287;123405;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;sll0700;gene;123501;123995;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;sll0699;gene;123989;124348;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;dfr;gene;124452;126443;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;psaD;gene;126639;127064;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;trpE;gene;127186;128712;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;crtE;gene;128802;129710;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;slr0740;gene;129791;130186;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;sll0696;gene;130167;131039;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;phoU;gene;131116;131790;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;slr0742;gene;131877;132407;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;nusA;gene;132483;133859;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;infB;gene;134437;137442;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;slr0236;gene;137444;138112;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;glgX;gene;138295;140535;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;slr0238;gene;140585;141007;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;ssl0426;gene;141123;141416;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;cbiF;gene;141648;142442;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;slr0240;gene;142559;142981;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;slr0241;gene;142981;143826;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;bcp;gene;144061;144543;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;slr0243;gene;144554;145081;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;sll0230;gene;145164;145529;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;slr0244;gene;145761;146615;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;psbM;gene;146724;146831;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;slr0245;gene;146980;147894;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;sll0228;gene;148022;148942;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;ppiB;gene;148943;149683;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;ycf4;gene;149889;150455;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;sll0225;gene;150594;152132;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;sll0224;gene;152154;153050;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;rnpB;gene;153057;153655;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;slr0249;gene;153622;153996;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;slr0250;gene;154143;154679;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;slr0251;gene;154703;155461;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;slr0252;gene;155473;156258;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;psaK;gene;156391;156651;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;ssl0410;gene;156741;157013;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;ndhB;gene;157050;158615;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;phoA;gene;158757;159737;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;sgl0002;gene;159812;159961;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;ycf6;gene;160004;160093;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;slr0254;gene;160258;161058;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;bcp;gene;161088;161642;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;glmS;gene;161768;163663;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;sll0219;gene;164037;165821;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;sll0218;gene;165871;166389;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;sll0217;gene;166416;168152;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;ctpB;gene;168533;169921;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;sll0216;gene;169934;170566;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;slr1411;gene;170572;171840;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;atpC;gene;171939;172883;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;atpA;gene;173014;174525;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;atpD;gene;174586;175143;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;atpF;gene;175143;175682;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;atpG;gene;175708;176139;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;atpH;gene;176256;176501;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;atpI;gene;176693;177523;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;atp1;gene;177592;178038;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;slr1413;gene;178237;179682;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;slr1414;gene;179734;181047;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;slr1415;gene;181073;182221;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;morR;gene;182354;183298;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;slr1417;gene;183493;183849;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;sll1319;gene;183935;184924;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;sll1318;gene;184968;185636;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;sll1041;gene;185772;186554;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;sll1040;gene;186601;188898;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;folK;gene;189128;189715;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;slr1094;gene;190033;190818;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;sll1039;gene;190815;191954;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;slr1095;gene;192136;192783;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;phdD;gene;192870;194306;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;slr1097;gene;194310;194801;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;slr1098;gene;194859;195617;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;ubiX;gene;195685;196305;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;slr1100;gene;196611;196991;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;slr1101;gene;197231;197557;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;slr1102;gene;197624;200185;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;slr1103;gene;200405;202525;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;slr1104;gene;202554;204395;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;fus;gene;204604;206397;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;sll1037;gene;206863;208338;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;sll1036;gene;208549;209427;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;ssl2009;gene;209527;209826;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;upp;gene;209896;210546;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;phb;gene;210781;211629;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;slr1107;gene;211734;213068;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;sll1033;gene;213031;215037;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;ccmN;gene;215504;216229;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;ccmM;gene;216264;218327;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;ccmL;gene;218407;218709;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;ccmK;gene;219206;219517;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;ccmK;gene;218742;219077;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;gltD;gene;219979;221463;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;ank;gene;221742;223067;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;slr1110;gene;223018;223596;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;slr1772;gene;223673;224806;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;sll1686;gene;224897;226363;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;ssr2972;gene;226928;227098;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;slr1773;gene;227123;227899;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;slr1774;gene;227943;228812;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;slr1776;gene;228866;230566;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;ycf10;gene;230658;231839;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;chlD;gene;232008;234038;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;slr1778;gene;234305;234838;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;cad;gene;234905;236356;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;sll1682;gene;236356;237438;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;pdxJ;gene;237660;238325;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;slr1780;gene;238344;238745;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;sll1681;gene;238804;240327;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;sll1680;gene;240299;240829;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;hhoA;gene;240863;242047;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;slr1783;gene;242246;243094;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;bvdR;gene;243158;244144;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;sll1678;gene;244160;244708;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;sll1677;gene;244783;245436;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;malQ;gene;245502;247019;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;sll1675;gene;247117;247569;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;slr1787;gene;247619;248713;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;slr1788;gene;249062;250117;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;slr1789;gene;250160;251641;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;sll1673;gene;251758;253116;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;sll1672;gene;253125;255629;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;sll1671;gene;255823;256305;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;slr1790;gene;256647;257279;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;cysH;gene;257426;258175;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;hrcA;gene;258227;259363;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;aroK;gene;259702;260271;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;talB;gene;260463;261638;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;ssr2998;gene;261863;262060;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;slr1794;gene;262177;263265;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;msrA;gene;263321;263965;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;ssr3000;gene;264190;264477;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;mom72;gene;264516;265316;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;dnaJ;gene;265414;265938;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;slr1796;gene;265995;266600;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;sll1665;gene;266702;268471;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;sll1664;gene;268789;269727;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;sll1663;gene;269773;270435;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;pheA;gene;270476;271369;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;pleD;gene;271600;273357;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;sll1660;gene;273802;274386;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;sll1659;gene;274502;275680;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;sll1658;gene;275807;276283;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;slr1799;gene;276429;278342;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;slr1800;gene;278494;279561;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;sll1656;gene;279512;280087;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;birA;gene;280127;280951;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;sll1654;gene;280970;281443;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;gerCb;gene;281507;282223;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;sll1652;gene;282290;282700;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;icd;gene;283060;284487;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;slr1290;gene;284508;285080;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;sll1201;gene;285144;285938;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;ndhD2;gene;286164;287843;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;sll1200;gene;287929;289104;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;slr1293;gene;289322;290845;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;ycf19;gene;290902;291174;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;sufA;gene;291626;292708;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;trmD;gene;292790;293485;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;ssl2384;gene;293496;293669;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;pfkA;gene;293878;294963;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;slr1298;gene;295076;297343;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;psbU;gene;297493;297888;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;sll1193;gene;298083;298580;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;slr1299;gene;299522;300883;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;ubiH;gene;301110;302354;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;sll1192;gene;302367;302789;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;sll1191;gene;302786;303190;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;ssr2153;gene;303424;303621;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;slr1301;gene;303939;305546;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;slr1302;gene;305595;306824;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;slr1303;gene;306844;308076;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;glcE;gene;308114;309418;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;slr1305;gene;309649;312171;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;slr1306;gene;312258;313715;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;sll1188;gene;313705;314199;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;lgt;gene;314255;315106;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;sll1186;gene;315134;315784;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;hemF;gene;315882;316904;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;ho1;gene;317127;317849;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;slr1307;gene;317984;318571;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;rpl28;gene;318661;318897;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;slr0962;gene;319096;320529;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;sll0943;gene;320785;321447;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;sir;gene;321699;323606;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;slr0964;gene;323805;324731;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;dnaN;gene;324831;326006;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;trpA;gene;326150;326944;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;slr0967;gene;327100;327552;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;sll0939;gene;327604;327981;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;sll0938;gene;328006;329181;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;ssl1792;gene;329222;329521;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;sll0936;gene;329555;331060;-1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;cbiH;gene;331144;333027;1;#FFFFFF;2;NA;NA;NA;bold.italic
chromosome;slr0971;gene;333130;334485;1;#FFFFFF;2;NA;NA;NA;bold.italic
